Year,State,Coal_Consumption_Mt,CO2_Emissions_MtCO2e,Carbon_Credits_Earned,Mitigation_Strategies,Carbon_Sinks_MtCO2e,Excavation,Transportation,Fuel,Equipment,Workers,FuelType,Reduction,Output
2024,Telangana,92.68,332.57,119715,Afforestation,23.48,1109.5,45.36,7308.51,201.45,4724,Diesel,7.3,2291.37
2017,Chhattisgarh,275.9,115.12,166410,Renewable Energy,41.19,1839.79,170.0,1773.05,217.84,2922,Coal,14.7,2007.43
2023,Jharkhand,69.69,270.13,124243,Renewable Energy,19.66,1728.32,119.66,8081.6,293.87,692,Diesel,25.33,496.92
2016,Telangana,209.86,349.41,184540,Coal Gasification,17.58,1949.03,161.25,6939.1,416.82,4100,Diesel,29.3,610.03
2019,Madhya Pradesh,296.52,135.19,143181,None,33.24,3245.44,164.48,4862.15,157.62,1673,Coal,26.79,1024.67
2019,Madhya Pradesh,112.86,271.82,152136,Carbon Capture,37.38,3385.12,14.81,653.86,280.93,3517,Coal,20.3,2009.71
2017,Madhya Pradesh,258.97,243.47,192113,Renewable Energy,34.21,3453.78,185.85,549.83,78.29,2271,Coal,23.69,3279.3
2016,Jharkhand,90.68,217.18,55663,Energy Efficiency,14.52,1317.78,150.95,6030.01,358.27,2296,Gas,18.43,3408.45
2015,West Bengal,207.58,579.43,74853,Coal Gasification,17.46,3292.85,82.59,6076.18,248.53,469,Gas,21.66,2992.31
2016,Telangana,171.84,334.0,195545,Energy Efficiency,47.45,3570.69,146.85,7328.56,472.89,3362,Gas,21.25,4653.82
2016,Madhya Pradesh,235.74,242.21,45331,Renewable Energy,30.1,1837.15,189.8,3164.73,223.68,4019,Coal,20.61,2570.08
2023,Madhya Pradesh,125.77,103.24,181660,Carbon Capture,26.22,2225.91,157.61,5666.14,286.05,3848,Gas,8.38,1249.03
2024,West Bengal,175.11,503.87,128292,Energy Efficiency,27.62,4330.57,67.75,4305.98,320.54,2490,Coal,12.34,1878.54
2018,Maharashtra,225.27,507.67,157511,Coal Gasification,30.41,2712.77,158.24,4087.15,205.63,269,Diesel,1.85,3537.9
2023,Jharkhand,53.07,379.5,133631,Afforestation,7.26,2263.91,195.38,7582.76,444.55,3335,Gas,22.84,3601.1
2016,Maharashtra,233.99,404.77,37670,Coal Gasification,16.85,1957.56,178.01,8280.2,407.34,4624,Diesel,13.86,4409.38
2017,Madhya Pradesh,231.47,202.0,156206,Renewable Energy,9.36,2371.33,166.94,4320.52,101.88,3897,Gas,19.36,4643.77
2024,Chhattisgarh,187.93,330.75,95710,None,32.61,2588.58,91.28,3973.05,376.95,986,Coal,11.22,4991.29
2015,West Bengal,85.31,205.33,190402,Energy Efficiency,27.11,2191.6,184.06,6589.8,89.66,4472,Coal,16.62,1029.36
2019,Telangana,298.01,216.89,52247,Afforestation,7.41,3924.16,83.16,9220.82,62.9,4828,Coal,17.6,4325.39
2021,Madhya Pradesh,218.93,573.51,153446,None,36.48,4951.54,78.97,6810.82,401.3,3045,Gas,8.02,1209.74
2016,Jharkhand,201.78,322.86,48985,Energy Efficiency,22.19,2922.53,12.52,7861.37,63.39,4081,Coal,6.69,4587.19
2021,Maharashtra,161.81,282.08,56057,Energy Efficiency,24.24,3873.68,177.19,7683.95,424.13,2829,Gas,23.71,4066.03
2020,Madhya Pradesh,60.25,186.22,143024,Coal Gasification,17.27,2288.22,119.97,5059.86,54.48,887,Coal,25.25,3965.98
2023,Chhattisgarh,273.02,348.12,118256,Afforestation,12.94,3712.42,29.66,1839.91,237.0,1193,Coal,13.09,3017.76
2023,Jharkhand,209.18,196.1,131427,None,20.72,877.06,60.12,5779.13,134.67,1749,Coal,0.08,565.59
2019,West Bengal,52.53,313.68,17411,None,40.61,4182.66,146.53,6772.54,319.97,2081,Coal,22.46,2441.46
2023,Maharashtra,174.32,596.51,17823,Renewable Energy,13.63,1150.03,98.95,8245.76,299.16,4667,Diesel,18.24,2847.16
2020,Maharashtra,287.97,589.36,85895,Coal Gasification,7.75,2054.91,102.15,2595.76,409.67,1629,Diesel,28.51,2920.54
2022,Maharashtra,279.57,238.1,199821,Energy Efficiency,16.09,2958.13,57.61,2019.58,394.46,1007,Diesel,21.26,2957.77
2018,West Bengal,151.77,506.85,81182,Energy Efficiency,16.56,2989.91,149.5,4324.2,144.66,4174,Gas,25.49,1105.42
2018,Maharashtra,103.16,162.1,138393,Renewable Energy,5.89,2646.94,30.35,669.23,263.1,2800,Gas,3.07,519.1
2020,Chhattisgarh,267.84,476.32,190133,Energy Efficiency,14.53,677.45,199.06,2944.53,331.27,4049,Gas,23.73,2229.14
2022,Madhya Pradesh,155.98,234.47,147175,Afforestation,37.88,3975.19,67.91,988.58,463.36,1965,Gas,7.68,4328.77
2021,West Bengal,236.0,177.71,57766,Afforestation,33.58,3513.36,16.64,5944.0,464.4,4805,Coal,18.49,3873.07
2024,Madhya Pradesh,82.55,432.43,22292,Coal Gasification,5.33,2985.97,80.78,5562.48,451.47,2372,Coal,1.04,4741.29
2021,Madhya Pradesh,74.2,227.19,82044,Coal Gasification,12.07,2408.76,175.67,2409.84,170.36,828,Diesel,23.11,2035.1
2017,Odisha,153.89,408.91,25442,Carbon Capture,47.02,3986.45,122.95,9592.84,80.15,922,Gas,21.59,552.01
